,samp_day,t(h),condition,c_b_ratio,replicate,well,content,measurement_type,wavelength,measure,blank_mean,corr_measure
0,2019-04-16 19:23:35,0,b+sup,low,1,A1,ICL_186B,absorbance,680_nm,0.10679999738931656,0.10875555624564488,-0.001955558856328324
1,2019-04-16 19:23:35,0,b+sup,low,1,B1,ICL_129B,absorbance,680_nm,0.10239999741315843,0.10875555624564488,-0.006355558832486452
2,2019-04-16 19:23:35,0,b+sup,low,1,C1,ICL_100,absorbance,680_nm,0.10000000149011612,0.10875555624564488,-0.008755554755528763
3,2019-04-16 19:23:35,0,b+sup,low,1,D1,ICL_101,absorbance,680_nm,0.1006999984383583,0.10875555624564488,-0.008055557807286576
4,2019-04-16 19:23:35,0,b+sup,low,1,E1,ICL_103,absorbance,680_nm,0.10180000215768814,0.10875555624564488,-0.006955554087956742
5,2019-04-16 19:23:35,0,b+sup,low,1,F1,ICL_108,absorbance,680_nm,0.10570000112056732,0.10875555624564488,-0.003055555125077561
6,2019-04-16 19:23:35,0,b+sup,low,1,G1,ICL_112,absorbance,680_nm,0.1071000024676323,0.10875555624564488,-0.001655553778012589
7,2019-04-16 19:23:35,0,b+sup,low,1,H1,ICL_114B,absorbance,680_nm,0.10289999842643738,0.10875555624564488,-0.005855557819207505
8,2019-04-16 19:23:35,0,b+sup,low,1,A2,ICL_115,absorbance,680_nm,0.1040000021457672,0.10875555624564488,-0.004755554099877685
9,2019-04-16 19:23:35,0,b+sup,low,1,B2,ICL_117,absorbance,680_nm,0.10409999638795853,0.10875555624564488,-0.004655559857686356
10,2019-04-16 19:23:35,0,b+sup,low,1,C2,ICL_118B,absorbance,680_nm,0.10859999805688858,0.10875555624564488,-0.00015555818875630234
11,2019-04-16 19:23:35,0,b+sup,low,1,D2,ICL_132,absorbance,680_nm,0.1037999987602234,0.10875555624564488,-0.00495555748542148
12,2019-04-16 19:23:35,0,b+sup,low,1,E2,ICL_139A,absorbance,680_nm,0.10180000215768814,0.10875555624564488,-0.006955554087956742
13,2019-04-16 19:23:35,0,b+sup,low,1,F2,ICL_144,absorbance,680_nm,0.10189999639987946,0.10875555624564488,-0.006855559845765427
14,2019-04-16 19:23:35,0,b+sup,low,1,G2,ICL_160,absorbance,680_nm,0.10649999976158142,0.10875555624564488,-0.0022555564840634618
15,2019-04-16 19:23:35,0,b+sup,low,1,H2,ICL_172,absorbance,680_nm,0.10019999742507936,0.10875555624564488,-0.008555558820565523
16,2019-04-16 19:23:35,0,b+sup,low,1,A3,ICL_163,absorbance,680_nm,0.10530000180006027,0.10875555624564488,-0.0034555544455846104
17,2019-04-16 19:23:35,0,b+sup,low,1,B3,ICL_170,absorbance,680_nm,0.09780000150203703,0.10875555624564488,-0.010955554743607848
18,2019-04-16 19:23:35,0,b+sup,low,1,C3,ICL_116,absorbance,680_nm,0.1071999967098236,0.10875555624564488,-0.0015555595358212881
19,2019-04-16 19:23:35,0,b+sup,low,1,D3,ICL_199,absorbance,680_nm,0.10520000010728836,0.10875555624564488,-0.003555556138356522
20,2019-04-16 19:23:35,0,b+sup,low,1,E3,ICL_201,absorbance,680_nm,0.10540000349283217,0.10875555624564488,-0.0033555527528127127
