samp_day	replicate	well	content	t(h)	condition	chlamy_bact_ratio	measurement_type	wavelength	measure	blank_mean	corr_measure
2019-03-22 14:43:00	1	A1	ICL_116	0.0	b+c	160	absorbance	600_nm	0.14419999718666074	0.11535624895865719	0.02884374822800355
2019-03-22 14:43:00	1	B1	ICL_160	0.0	b+c	160	absorbance	600_nm	0.1460999995470047	0.11535624895865719	0.03074375058834751
2019-03-22 14:43:00	1	C1	ICL_201	0.0	b+c	160	absorbance	600_nm	0.1467999964952469	0.11535624895865719	0.0314437475365897
2019-03-22 14:43:00	1	D1	ICL_116	0.0	b+c	160	absorbance	600_nm	0.14000000059604645	0.11535624895865719	0.024643751637389258
2019-03-22 14:43:00	1	E1	ICL_160	0.0	b+c	160	absorbance	600_nm	0.14640000462532046	0.11535624895865719	0.031043755666663272
2019-03-22 14:43:00	1	F1	ICL_160	0.0	b+c	160	absorbance	600_nm	0.13570000231266022	0.11535624895865719	0.020343753354003027
2019-03-22 14:43:00	1	G1	ICL_116	0.0	b+c	160	absorbance	600_nm	0.13860000669956207	0.11535624895865719	0.023243757740904883
2019-03-22 14:43:00	1	H1	ICL_201	0.0	b+c	160	absorbance	600_nm	0.1272999942302704	0.11535624895865719	0.011943745271613224
2019-03-22 14:43:00	1	A2	ICL_112	0.0	b+c	160	absorbance	600_nm	0.1387999951839447	0.11535624895865719	0.023443746225287512
2019-03-22 14:43:00	1	B2	ICL_129A	0.0	b+c	160	absorbance	600_nm	0.14020000398159027	0.11535624895865719	0.02484375502293308
2019-03-22 14:43:00	1	C2	ICL_172	0.0	b+c	160	absorbance	600_nm	0.13590000569820404	0.11535624895865719	0.02054375673954685
2019-03-22 14:43:00	1	D2	ICL_112	0.0	b+c	160	absorbance	600_nm	0.12999999523162842	0.11535624895865719	0.014643746272971228
2019-03-22 14:43:00	1	E2	ICL_129A	0.0	b+c	160	absorbance	600_nm	0.13600000739097595	0.11535624895865719	0.020643758432318762
2019-03-22 14:43:00	1	F2	ICL_129A	0.0	b+c	160	absorbance	600_nm	0.12610000371932986	0.11535624895865719	0.010743754760672672
2019-03-22 14:43:00	1	G2	ICL_112	0.0	b+c	160	absorbance	600_nm	0.13230000436306	0.11535624895865719	0.016943755404402808
2019-03-22 14:43:00	1	H2	ICL_172	0.0	b+c	160	absorbance	600_nm	0.1168999969959259	0.11535624895865719	0.0015437480372687135
2019-03-22 14:43:00	1	A3	ICL_163	0.0	b+c	160	absorbance	600_nm	0.15049999952316284	0.11535624895865719	0.03514375056450565
2019-03-22 14:43:00	1	B3	ICL_129B	0.0	b+c	160	absorbance	600_nm	0.1412999927997589	0.11535624895865719	0.02594374384110172
2019-03-22 14:43:00	1	C3	ICL_184BA	0.0	b+c	160	absorbance	600_nm	0.13220000267028809	0.11535624895865719	0.016843753711630896
2019-03-22 14:43:00	1	D3	ICL_163	0.0	b+c	160	absorbance	600_nm	0.12559999525547028	0.11535624895865719	0.010243746296813086
2019-03-22 14:43:00	1	E3	ICL_129B	0.0	b+c	160	absorbance	600_nm	0.11240000277757643	0.11535624895865719	-0.002956246181080757
2019-03-22 14:43:00	1	F3	ICL_129B	0.0	b+c	160	absorbance	600_nm	0.12200000137090684	0.11535624895865719	0.006643752412249654
2019-03-22 14:43:00	1	G3	ICL_163	0.0	b+c	160	absorbance	600_nm	0.11789999902248385	0.11535624895865719	0.0025437500638266636
2019-03-22 14:43:00	1	H3	ICL_184BA	0.0	b+c	160	absorbance	600_nm	0.11659999936819075	0.11535624895865719	0.0012437504095335616
2019-03-22 14:43:00	1	A4	ICL_24	0.0	b+c	160	absorbance	600_nm	0.14839999377727509	0.11535624895865719	0.033043744818617896
2019-03-22 14:43:00	1	B4	ICL_20BA	0.0	b+c	160	absorbance	600_nm	0.13169999420642853	0.11535624895865719	0.016343745247771338
2019-03-22 14:43:00	1	C4	ICL_186A	0.0	b+c	160	absorbance	600_nm	0.1200999990105629	0.11535624895865719	0.004743750051905707
2019-03-22 14:43:00	1	D4	ICL_24	0.0	b+c	160	absorbance	600_nm	0.1264999955892563	0.11535624895865719	0.011143746630599097
2019-03-22 14:43:00	1	E4	ICL_20BA	0.0	b+c	160	absorbance	600_nm	0.11729999631643295	0.11535624895865719	0.001943747357775763
2019-03-22 14:43:00	1	F4	ICL_20BA	0.0	b+c	160	absorbance	600_nm	0.1168000027537346	0.11535624895865719	0.0014437537950774126
2019-03-22 14:43:00	1	G4	ICL_24	0.0	b+c	160	absorbance	600_nm	0.1251000016927719	0.11535624895865719	0.009743752734114722
2019-03-22 14:43:00	1	H4	ICL_186A	0.0	b+c	160	absorbance	600_nm	0.11460000276565553	0.11535624895865719	-0.0007562461930016584
2019-03-22 14:43:00	1	A5	ICL_118B	0.0	b+c	160	absorbance	600_nm	0.13680000603199005	0.11535624895865719	0.02144375707333286
2019-03-22 14:43:00	1	B5	ICL_60	0.0	b+c	160	absorbance	600_nm	0.13189999759197235	0.11535624895865719	0.01654374863331516
2019-03-22 14:43:00	1	C5	ICL_186B	0.0	b+c	160	absorbance	600_nm	0.12559999525547028	0.11535624895865719	0.010243746296813086
2019-03-22 14:43:00	1	D5	ICL_118B	0.0	b+c	160	absorbance	600_nm	0.1120000034570694	0.11535624895865719	-0.003356245501587793
2019-03-22 14:43:00	1	E5	ICL_60	0.0	b+c	160	absorbance	600_nm	0.11569999903440475	0.11535624895865719	0.0003437500757475648
2019-03-22 14:43:00	1	F5	ICL_60	0.0	b+c	160	absorbance	600_nm	0.11069999635219574	0.11535624895865719	-0.00465625260646145
2019-03-22 14:43:00	1	G5	ICL_118B	0.0	b+c	160	absorbance	600_nm	0.12210000306367876	0.11535624895865719	0.0067437541050215655
2019-03-22 14:43:00	1	H5	ICL_186B	0.0	b+c	160	absorbance	600_nm	0.11249999701976776	0.11535624895865719	-0.0028562519388894286
2019-03-22 14:43:00	1	A6	ICL_100	0.0	b+c	160	absorbance	600_nm	0.1298999935388565	0.11535624895865719	0.014543744580199316
2019-03-22 14:43:00	1	B6	ICL_144	0.0	b+c	160	absorbance	600_nm	0.1379999965429306	0.11535624895865719	0.022643747584273413
2019-03-22 14:43:00	1	C6	ICL_170	0.0	b+c	160	absorbance	600_nm	0.1169999986886978	0.11535624895865719	0.0016437497300406112
2019-03-22 14:43:00	1	D6	ICL_100	0.0	b+c	160	absorbance	600_nm	0.11309999972581865	0.11535624895865719	-0.002256249232838542
2019-03-22 14:43:00	1	E6	ICL_144	0.0	b+c	160	absorbance	600_nm	0.11729999631643295	0.11535624895865719	0.001943747357775763
2019-03-22 14:43:00	1	F6	ICL_144	0.0	b+c	160	absorbance	600_nm	0.11330000311136244	0.11535624895865719	-0.0020562458472947465
2019-03-22 14:43:00	1	G6	ICL_100	0.0	b+c	160	absorbance	600_nm	0.11990000307559967	0.11535624895865719	0.0045437541169424805
2019-03-22 14:43:00	1	H6	ICL_170	0.0	b+c	160	absorbance	600_nm	0.1168000027537346	0.11535624895865719	0.0014437537950774126
2019-03-22 14:43:00	1	A7	ICL_108	0.0	b+c	160	absorbance	600_nm	0.1281999945640564	0.11535624895865719	0.012843745605399207
2019-03-22 14:43:00	1	B7	ICL_41	0.0	b+c	160	absorbance	600_nm	0.1256999969482422	0.11535624895865719	0.010343747989584998
2019-03-22 14:43:00	1	C7	ICL_201	0.0	b+c	160	absorbance	600_nm	0.1202000007033348	0.11535624895865719	0.004843751744677605
2019-03-22 14:43:00	1	D7	ICL_108	0.0	b+c	160	absorbance	600_nm	0.1096000000834465	0.11535624895865719	-0.005756248875210687
2019-03-22 14:43:00	1	E7	ICL_41	0.0	b+c	160	absorbance	600_nm	0.12240000069141388	0.11535624895865719	0.0070437517327566895
2019-03-22 14:43:00	1	F7	ICL_41	0.0	b+c	160	absorbance	600_nm	0.11900000274181365	0.11535624895865719	0.003643753783156456
2019-03-22 14:43:00	1	G7	ICL_108	0.0	b+c	160	absorbance	600_nm	0.1151999980211258	0.11535624895865719	-0.0001562509375313964
2019-03-22 14:43:00	1	H7	Chlamy	0.0	b+c	160	absorbance	600_nm	0.11490000039339066	0.11535624895865719	-0.00045624856526653434
2019-03-22 14:43:00	1	A8	ICL_115	0.0	b+c	160	absorbance	600_nm	0.13199999928474426	0.11535624895865719	0.016643750326087073
2019-03-22 14:43:00	1	B8	ICL_114B	0.0	b+c	160	absorbance	600_nm	0.1315000057220459	0.11535624895865719	0.01614375676338871
2019-03-22 14:43:00	1	C8	ICL_172	0.0	b+c	160	absorbance	600_nm	0.1256999969482422	0.11535624895865719	0.010343747989584998
2019-03-22 14:43:00	1	D8	ICL_115	0.0	b+c	160	absorbance	600_nm	0.12319999933242798	0.11535624895865719	0.007843750373770789
2019-03-22 14:43:00	1	E8	ICL_114B	0.0	b+c	160	absorbance	600_nm	0.11630000174045566	0.11535624895865719	0.0009437527817984653
2019-03-22 14:43:00	1	F8	ICL_114B	0.0	b+c	160	absorbance	600_nm	0.11949999630451202	0.11535624895865719	0.004143747345854834
2019-03-22 14:43:00	1	G8	ICL_115	0.0	b+c	160	absorbance	600_nm	0.12380000203847885	0.11535624895865719	0.008443753079821661
2019-03-22 14:43:00	1	H8	Chlamy	0.0	b+c	160	absorbance	600_nm	0.11720000207424165	0.11535624895865719	0.0018437531155844622
2019-03-22 14:43:00	1	A9	ICL_199	0.0	b+c	160	absorbance	600_nm	0.14020000398159027	0.11535624895865719	0.02484375502293308
2019-03-22 14:43:00	1	B9	ICL_208B	0.0	b+c	160	absorbance	600_nm	0.13650000095367432	0.11535624895865719	0.021143751995017127
2019-03-22 14:43:00	1	C9	ICL_184BA	0.0	b+c	160	absorbance	600_nm	0.1177000030875206	0.11535624895865719	0.0023437541288634095
2019-03-22 14:43:00	1	D9	ICL_199	0.0	b+c	160	absorbance	600_nm	0.1160999983549118	0.11535624895865719	0.0007437493962546143
2019-03-22 14:43:00	1	E9	ICL_208B	0.0	b+c	160	absorbance	600_nm	0.11779999732971193	0.11535624895865719	0.002443748371054738
2019-03-22 14:43:00	1	F9	ICL_208B	0.0	b+c	160	absorbance	600_nm	0.1145000010728836	0.11535624895865719	-0.0008562478857735839
2019-03-22 14:43:00	1	G9	ICL_199	0.0	b+c	160	absorbance	600_nm	0.11869999766349792	0.11535624895865719	0.003343748704840735
2019-03-22 14:43:00	1	H9	Chlamy	0.0	b+c	160	absorbance	600_nm	0.1307000070810318	0.11535624895865719	0.01534375812237461
2019-03-22 14:43:00	1	A10	ICL_101	0.0	b+c	160	absorbance	600_nm	0.13289999961853027	0.11535624895865719	0.017543750659873084
2019-03-22 14:43:00	1	B10	ICL_117	0.0	b+c	160	absorbance	600_nm	0.13930000364780426	0.11535624895865719	0.02394375468914707
2019-03-22 14:43:00	1	C10	ICL_186A	0.0	b+c	160	absorbance	600_nm	0.11949999630451202	0.11535624895865719	0.004143747345854834
2019-03-22 14:43:00	1	D10	ICL_101	0.0	b+c	160	absorbance	600_nm	0.11919999867677687	0.11535624895865719	0.0038437497181196822
2019-03-22 14:43:00	1	E10	ICL_117	0.0	b+c	160	absorbance	600_nm	0.12210000306367876	0.11535624895865719	0.0067437541050215655
2019-03-22 14:43:00	1	F10	ICL_117	0.0	b+c	160	absorbance	600_nm	0.1168999969959259	0.11535624895865719	0.0015437480372687135
2019-03-22 14:43:00	1	G10	ICL_101	0.0	b+c	160	absorbance	600_nm	0.11259999871253967	0.11535624895865719	-0.002756250246117517
2019-03-22 14:43:00	1	H10	Chlamy	0.0	b+c	160	absorbance	600_nm	0.1160999983549118	0.11535624895865719	0.0007437493962546143
2019-03-22 14:43:00	1	A11	ICL_139A	0.0	b+c	160	absorbance	600_nm	0.13750000298023224	0.11535624895865719	0.02214375402157505
2019-03-22 14:43:00	1	B11	ICL_132	0.0	b+c	160	absorbance	600_nm	0.13349999487400055	0.11535624895865719	0.01814374591534336
2019-03-22 14:43:00	1	C11	ICL_186B	0.0	b+c	160	absorbance	600_nm	0.13289999961853027	0.11535624895865719	0.017543750659873084
2019-03-22 14:43:00	1	D11	ICL_139A	0.0	b+c	160	absorbance	600_nm	0.12530000507831573	0.11535624895865719	0.009943756119658545
2019-03-22 14:43:00	1	E11	ICL_132	0.0	b+c	160	absorbance	600_nm	0.1112999990582466	0.11535624895865719	-0.004056249900410591
2019-03-22 14:43:00	1	F11	ICL_132	0.0	b+c	160	absorbance	600_nm	0.1137000024318695	0.11535624895865719	-0.001656246526787683
2019-03-22 14:43:00	1	G11	ICL_139A	0.0	b+c	160	absorbance	600_nm	0.11599999666213988	0.11535624895865719	0.0006437477034826888
2019-03-22 14:43:00	1	H11	Chlamy	0.0	b+c	160	absorbance	600_nm	0.11190000176429747	0.11535624895865719	-0.0034562471943597184
2019-03-22 14:43:00	1	A12	ICL_103	0.0	b+c	160	absorbance	600_nm	0.13490000367164612	0.11535624895865719	0.01954375471298893
2019-03-22 14:43:00	1	B12	ICL_48	0.0	b+c	160	absorbance	600_nm	0.1412999927997589	0.11535624895865719	0.02594374384110172
2019-03-22 14:43:00	1	C12	ICL_170	0.0	b+c	160	absorbance	600_nm	0.13009999692440033	0.11535624895865719	0.01474374796574314
